,customer,state,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type
21,UY32623,California,3593,No,Extended,College,2/5/11,Disabled,F,18213,Suburban,Divorced,96,12,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460,Four-Door Car,Large,A
22,QV30663,Nevada,9863,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272,SUV,Medsize,A
23,MS94619,California,5111,No,Basic,High School or Below,2/13/11,Employed,F,76448,Suburban,Married,63,9,13,0,3,Personal Auto,Personal L3,Offer3,Web,302,Four-Door Car,Medsize,A
24,XQ74827,Arizona,19435,No,Extended,High School or Below,2/1/11,Employed,F,38688,Suburban,Single,249,22,6,0,3,Special Auto,Special L3,Offer1,Agent,2294,Luxury Car,Medsize,A
25,GB43363,Oregon,6870,No,Premium,College,1/24/11,Unemployed,M,0,Suburban,Single,105,5,87,0,3,Personal Auto,Personal L3,Offer1,Branch,756,Four-Door Car,Small,A
26,IQ95180,Oregon,5651,No,Basic,Bachelor,1/19/11,Employed,M,44634,Suburban,Married,71,16,99,1,9,Personal Auto,Personal L3,Offer1,Branch,396,Four-Door Car,Small,A
27,JX52708,California,4556,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617,Suburban,Divorced,63,22,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,302,Two-Door Car,Medsize,A
28,WL24392,Arizona,5860,No,Basic,Bachelor,2/1/11,Employed,M,94527,Rural,Married,73,16,32,0,3,Personal Auto,Personal L1,Offer1,Agent,41,Four-Door Car,Medsize,A
29,UO54511,California,4950,No,Basic,High School or Below,1/20/11,Employed,F,27400,Suburban,Married,63,14,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302,Four-Door Car,Medsize,A
30,NY12562,Nevada,2224,No,Basic,College,1/5/11,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Corporate L2,Offer2,Branch,483,Four-Door Car,Medsize,A
31,QG27547,Oregon,2867,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374,Four-Door Car,Medsize,A
32,LO37570,Arizona,12157,No,Extended,High School or Below,1/7/11,Employed,M,40432,Suburban,Married,77,21,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369,Four-Door Car,Medsize,A
33,LN28900,California,14687,No,Extended,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,85,3,61,0,2,Personal Auto,Personal L1,Offer1,Web,612,Four-Door Car,Small,A
34,VM85555,California,7750,No,Basic,College,2/23/11,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Offer3,Branch,33,Four-Door Car,Medsize,A
35,FR48094,Arizona,2456,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15,59,0,1,Personal Auto,Personal L3,Offer4,Branch,525,Four-Door Car,Small,A
36,CH50584,Oregon,32474,No,Basic,High School or Below,1/22/11,Employed,M,71449,Suburban,Divorced,102,17,7,0,2,Personal Auto,Personal L3,Offer4,Call Center,734,SUV,Small,A
37,KO86181,Oregon,6941,No,Basic,College,2/11/11,Unemployed,F,0,Suburban,Single,111,3,73,3,6,Personal Auto,Personal L3,Offer1,Agent,532,SUV,Small,A
38,NB81923,Washington,7294,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Single,113,12,66,2,7,Personal Auto,Personal L3,Offer1,Call Center,733,Sports Car,Medsize,A
39,PK23339,Arizona,3417,No,Extended,High School or Below,1/25/11,Employed,F,72460,Urban,Married,85,9,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,370,Four-Door Car,Medsize,A
40,UV12583,California,4700,No,Basic,College,2/18/11,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561,SUV,Medsize,A
41,VG56765,Arizona,2471,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114,Two-Door Car,Medsize,A
42,AK11669,Arizona,10130,No,Extended,Doctor,1/17/11,Employed,F,59232,Suburban,Divorced,85,6,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408,Two-Door Car,Medsize,A
43,MS87381,California,23866,No,Extended,High School or Below,2/14/11,Unemployed,F,0,Suburban,Married,81,27,93,1,2,Personal Auto,Personal L2,Offer3,Branch,388,Four-Door Car,Medsize,A
44,HB48073,Arizona,9371,No,Basic,Bachelor,2/1/11,Employed,F,66325,Urban,Married,117,10,10,0,5,Corporate Auto,Corporate L2,Offer1,Agent,497,SUV,Medsize,A
45,EC28398,Oregon,5096,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312,Four-Door Car,Small,A
46,FE99816,Nevada,15563,No,Premium,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,253,15,40,5,7,Personal Auto,Personal L1,Offer3,Web,1214,Luxury Car,Medsize,A
47,HS39343,Washington,7475,No,Basic,Bachelor,1/26/11,Disabled,F,29633,Urban,Married,196,26,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534,Luxury Car,Medsize,A
48,EF84269,California,5568,No,Extended,College,2/21/11,Employed,F,51489,Rural,Married,139,14,10,0,1,Personal Auto,Personal L2,Offer1,Web,236,SUV,Medsize,A
49,RD22761,Washington,20579,No,Basic,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,69,5,26,0,2,Personal Auto,Personal L3,Offer3,Call Center,566,Four-Door Car,Medsize,A
50,DO41287,Oregon,8276,No,Extended,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,82,29,92,0,2,Personal Auto,Personal L2,Offer3,Branch,590,Four-Door Car,Medsize,A
51,EW33419,California,15114,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480,SUV,Medsize,A
52,KH16079,Washington,4709,No,Basic,High School or Below,2/12/11,Unemployed,F,0,Suburban,Single,66,17,29,0,3,Personal Auto,Personal L1,Offer1,Agent,470,Four-Door Car,Small,A
53,ZM45168,Oregon,2398,No,Basic,College,2/14/11,Disabled,M,14321,Suburban,Single,65,20,72,0,1,Personal Auto,Personal L2,Offer1,Branch,423,Four-Door Car,Medsize,A
54,BP28492,Arizona,4834,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31,69,4,6,Corporate Auto,Corporate L3,Offer2,Call Center,316,Four-Door Car,Medsize,A
55,GS85403,Washington,9031,Yes,Extended,Master,2/23/11,Unemployed,F,0,Suburban,Single,122,15,47,0,9,Corporate Auto,Corporate L2,Offer1,Branch,650,Sports Car,Medsize,A
56,SK95364,California,4620,No,Extended,College,2/26/11,Unemployed,F,0,Suburban,Single,130,11,0,0,1,Personal Auto,Personal L2,Offer3,Agent,936,SUV,Medsize,A
57,UI80897,Washington,5552,No,Basic,High School or Below,2/27/11,Employed,M,50470,Suburban,Divorced,71,1,87,0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377,Two-Door Car,Large,A
58,WP64059,California,5093,No,Basic,Bachelor,1/6/11,Employed,F,91814,Urban,Married,63,30,99,0,3,Personal Auto,Personal L1,Offer3,Call Center,167,Two-Door Car,Medsize,A
59,IP52990,Oregon,16794,No,Basic,High School or Below,2/24/11,Employed,F,38399,Urban,Married,106,12,6,0,2,Personal Auto,Personal L3,Offer2,Web,368,SUV,Medsize,A
60,VF36700,Oregon,24278,No,Extended,Master,2/26/11,Retired,F,20983,Urban,Single,97,10,52,1,2,Personal Auto,Personal L2,Offer1,Branch,451,Four-Door Car,Medsize,A
61,NR16284,California,7462,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L3,Offer2,Call Center,7,Two-Door Car,Small,A
62,XX53620,Oregon,2891,No,Basic,Bachelor,2/2/11,Employed,F,80590,Rural,Married,71,4,19,0,1,Corporate Auto,Corporate L3,Offer4,Branch,134,Four-Door Car,Small,A
63,AZ64856,California,5048,No,Extended,High School or Below,2/17/11,Employed,F,34452,Suburban,Married,126,2,51,0,1,Personal Auto,Personal L1,Offer4,Agent,604,SUV,Large,A
64,SA88518,Oregon,7737,No,Basic,College,1/19/11,Employed,F,50296,Rural,Married,65,26,62,1,2,Personal Auto,Personal L2,Offer1,Call Center,46,Two-Door Car,Medsize,A
65,MW48891,Washington,8007,Yes,Basic,High School or Below,1/2/11,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537,Sports Car,Medsize,A
66,KX55910,Oregon,4957,No,Basic,College,1/15/11,Employed,F,62803,Suburban,Married,62,16,12,0,5,Personal Auto,Personal L3,Offer2,Web,400,Two-Door Car,Small,A
67,QB47024,Washington,5898,No,Extended,Bachelor,2/17/11,Employed,F,53998,Suburban,Divorced,78,5,38,5,8,Personal Auto,Personal L3,Offer1,Call Center,414,Four-Door Car,Medsize,A
68,JL70559,Arizona,5310,No,Basic,College,2/2/11,Unemployed,F,0,Suburban,Married,72,17,11,1,3,Personal Auto,Personal L1,Offer1,Branch,345,Four-Door Car,Small,A
69,TW73441,Nevada,2773,No,Basic,High School or Below,1/26/11,Employed,F,73478,Urban,Married,68,2,38,0,1,Personal Auto,Personal L2,Offer2,Call Center,241,Four-Door Car,Medsize,A
70,PZ47901,Arizona,5504,Yes,Basic,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18,45,0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350,Four-Door Car,Medsize,A
71,HX74855,Washington,2471,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L3,Offer2,Agent,114,Two-Door Car,Medsize,A
72,CV40610,California,12313,No,Premium,College,1/17/11,Unemployed,M,0,Suburban,Single,116,7,57,0,2,Personal Auto,Personal L1,Offer1,Call Center,835,Two-Door Car,Medsize,A
73,MV69686,Oregon,3982,No,Extended,Doctor,1/3/11,Employed,F,38500,Urban,Married,99,26,49,1,1,Corporate Auto,Corporate L2,Offer1,Agent,423,Four-Door Car,Large,A
74,IB67546,California,8237,No,Basic,Bachelor,1/17/11,Medical Leave,F,23940,Suburban,Married,107,13,34,0,7,Personal Auto,Personal L3,Offer1,Call Center,513,SUV,Small,A
75,IG89777,California,7356,No,Extended,High School or Below,1/9/11,Employed,M,81145,Urban,Married,92,34,92,0,8,Corporate Auto,Corporate L2,Offer2,Call Center,321,Two-Door Car,Large,A
76,FL82372,Oregon,8672,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537,SUV,Medsize,A
77,DR84620,California,8071,No,Basic,Bachelor,2/7/11,Employed,M,72149,Rural,Married,101,18,43,0,6,Personal Auto,Personal L2,Offer2,Call Center,69,SUV,Medsize,A
78,QQ25666,Arizona,14510,No,Basic,High School or Below,1/25/11,Employed,M,60120,Urban,Married,182,30,21,0,6,Personal Auto,Personal L3,Offer2,Branch,716,Luxury Car,Medsize,A
79,YU79270,Arizona,4633,No,Basic,College,1/15/11,Medical Leave,M,27132,Suburban,Single,63,32,59,1,4,Personal Auto,Personal L1,Offer1,Branch,302,Four-Door Car,Medsize,A
80,KC22636,California,5488,No,Basic,High School or Below,2/17/11,Employed,F,33881,Rural,Married,68,11,83,0,9,Personal Auto,Personal L3,Offer2,Web,65,Four-Door Car,Large,A
81,SO43919,California,14228,No,Extended,Bachelor,1/16/11,Employed,M,31650,Suburban,Married,121,25,17,0,2,Personal Auto,Personal L3,Offer1,Branch,580,SUV,Medsize,A
82,WW30771,Arizona,2673,No,Basic,Master,2/13/11,Employed,M,28728,Suburban,Married,67,8,10,0,1,Personal Auto,Personal L3,Offer4,Branch,321,Four-Door Car,Small,A
83,BL29046,Oregon,5332,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32,30,0,7,Corporate Auto,Corporate L2,Offer2,Branch,309,Four-Door Car,Medsize,A
84,LN50325,Arizona,10064,No,Extended,High School or Below,2/3/11,Employed,F,20440,Suburban,Married,128,11,54,2,9,Corporate Auto,Corporate L3,Offer3,Branch,614,Sports Car,Medsize,A
85,SZ70655,California,4293,No,Basic,College,1/31/11,Unemployed,F,0,Suburban,Single,61,18,15,0,8,Corporate Auto,Corporate L3,Offer1,Agent,292,Two-Door Car,Large,A
86,QP69826,Arizona,3567,Yes,Basic,Bachelor,1/7/11,Unemployed,M,0,Suburban,Married,102,28,11,0,1,Corporate Auto,Corporate L2,Offer2,Agent,660,SUV,Medsize,A
87,CM78608,California,5823,No,Basic,High School or Below,1/31/11,Employed,F,88359,Rural,Divorced,73,1,49,0,9,Personal Auto,Personal L3,Offer2,Call Center,35,Two-Door Car,Medsize,A
88,UX91266,California,3484,No,Extended,Bachelor,1/10/11,Employed,M,34307,Rural,Divorced,92,33,62,2,1,Personal Auto,Personal L3,Offer1,Call Center,186,Four-Door Car,Medsize,A
89,WO53546,Oregon,34039,No,Basic,College,1/28/11,Unemployed,M,0,Suburban,Divorced,104,26,66,0,2,Personal Auto,Personal L3,Offer2,Agent,499,Sports Car,Medsize,A
90,ZX85480,Washington,7995,No,Basic,High School or Below,1/2/11,Employed,F,66685,Rural,Married,67,35,50,2,2,Personal Auto,Personal L2,Offer2,Call Center,38,Two-Door Car,Large,A
91,QJ22057,Nevada,4454,No,Basic,College,2/22/11,Unemployed,F,0,Suburban,Single,68,5,72,1,3,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Large,A
92,FZ79470,Arizona,5395,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Married,74,13,30,0,4,Personal Auto,Personal L2,Offer3,Web,355,Four-Door Car,Medsize,A
93,VE64781,Arizona,2927,No,Basic,Bachelor,2/14/11,Employed,F,75685,Suburban,Married,73,35,47,0,1,Personal Auto,Personal L3,Offer2,Agent,369,Four-Door Car,Small,A
94,UB51030,Washington,6582,No,Basic,High School or Below,2/15/11,Unemployed,F,0,Suburban,Single,62,3,44,0,2,Special Auto,Special L3,Offer1,Agent,297,Four-Door Car,Medsize,A
95,IE36279,California,2844,No,Basic,Bachelor,2/6/11,Employed,M,80306,Suburban,Divorced,71,11,12,0,1,Corporate Auto,Corporate L1,Offer3,Call Center,340,Two-Door Car,Medsize,A
96,BW80872,Washington,4434,No,Premium,High School or Below,1/13/11,Employed,M,34549,Rural,Married,111,8,78,0,1,Personal Auto,Personal L2,Offer2,Web,125,Four-Door Car,Medsize,A
97,EP29567,Washington,7031,No,Extended,Master,1/24/11,Retired,M,16224,Suburban,Married,93,13,55,0,9,Corporate Auto,Corporate L1,Offer3,Web,498,Four-Door Car,Medsize,A
98,AX70794,California,2449,No,Basic,High School or Below,2/4/11,Employed,M,47122,Suburban,Single,62,6,77,0,1,Personal Auto,Personal L2,Offer2,Branch,297,Two-Door Car,Medsize,A
99,NJ46849,Arizona,2504,No,Basic,College,1/9/11,Unemployed,M,0,Suburban,Single,69,23,15,0,1,Personal Auto,Personal L2,Offer2,Branch,496,Four-Door Car,Medsize,A
100,WH20102,California,9095,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11,42,0,5,Personal Auto,Personal L2,Offer2,Call Center,556,SUV,Medsize,A
101,QO86948,Nevada,8071,No,Basic,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,112,3,84,0,7,Personal Auto,Personal L3,Offer1,Web,806,SUV,Small,A
102,DN14211,Oregon,15032,No,Basic,College,1/17/11,Medical Leave,M,17150,Suburban,Married,65,28,19,0,2,Personal Auto,Personal L2,Offer1,Agent,689,Two-Door Car,Medsize,A
103,YJ16163,Oregon,11009,Yes,Premium,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16,43,0,1,Special Auto,Special L3,Offer2,Agent,1358,Luxury Car,Medsize,A
104,LH26563,Oregon,4550,No,Premium,High School or Below,2/8/11,Disabled,F,17913,Suburban,Married,116,0,39,0,1,Personal Auto,Personal L3,Offer3,Web,556,Four-Door Car,Small,A
105,LE65901,Oregon,4434,No,Basic,Bachelor,2/20/11,Employed,F,58082,Rural,Married,112,31,66,1,1,Personal Auto,Personal L3,Offer1,Call Center,103,SUV,Medsize,A
106,MR60878,Oregon,15762,No,Basic,Bachelor,2/15/11,Employed,F,44362,Rural,Married,66,15,75,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,142,Four-Door Car,Small,A
107,CY45848,Oregon,4273,No,Premium,Bachelor,1/30/11,Employed,F,82214,Rural,Married,106,11,19,1,1,Personal Auto,Personal L1,Offer3,Branch,239,Four-Door Car,Medsize,A
108,HH30454,Oregon,32654,No,Premium,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,153,7,75,0,2,Personal Auto,Personal L3,Offer3,Branch,1101,SUV,Medsize,A
109,NI18835,California,2927,No,Basic,Bachelor,2/15/11,Employed,M,51991,Rural,Married,73,4,95,0,1,Personal Auto,Personal L3,Offer2,Web,124,Four-Door Car,Medsize,A
110,NL75739,Arizona,7590,No,Basic,High School or Below,1/2/11,Disabled,M,10375,Suburban,Married,66,10,95,0,2,Personal Auto,Personal L3,Offer1,Branch,316,Two-Door Car,Medsize,A
111,RF94484,Oregon,4605,Yes,Basic,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29,51,0,9,Corporate Auto,Corporate L3,Offer2,Web,302,Four-Door Car,Large,A
112,TK38732,Oregon,4873,No,Extended,High School or Below,2/18/11,Employed,M,47824,Urban,Married,129,8,56,3,1,Personal Auto,Personal L2,Offer4,Agent,546,SUV,Medsize,A
113,FI86516,Oregon,4786,No,Basic,Bachelor,1/26/11,Unemployed,F,0,Suburban,Single,68,4,67,0,9,Corporate Auto,Corporate L1,Offer1,Agent,489,Four-Door Car,Small,A
114,BS90503,Washington,5395,No,Basic,Bachelor,2/15/11,Employed,F,86640,Rural,Married,67,2,25,0,5,Personal Auto,Personal L1,Offer2,Web,65,Four-Door Car,Medsize,A
115,AG39150,Oregon,2356,No,Basic,Bachelor,2/4/11,Unemployed,M,0,Suburban,Married,63,22,94,0,1,Personal Auto,Personal L3,Offer1,Agent,302,Four-Door Car,Medsize,A
116,MU76701,Washington,3921,No,Extended,College,1/20/11,Employed,F,62445,Suburban,Married,98,19,12,1,1,Personal Auto,Personal L2,Offer2,Call Center,681,Four-Door Car,Small,A
117,JH73503,Arizona,20171,No,Basic,Doctor,2/1/11,Employed,M,24804,Suburban,Married,73,19,98,0,2,Personal Auto,Personal L2,Offer3,Call Center,350,Two-Door Car,Small,A
118,JC38573,Oregon,5528,Yes,Basic,Bachelor,1/19/11,Employed,M,36088,Suburban,Single,72,16,31,0,9,Corporate Auto,Corporate L3,Offer1,Agent,345,Four-Door Car,Medsize,A
119,NL33789,California,4077,No,Basic,Bachelor,1/20/11,Employed,F,53093,Rural,Divorced,103,3,62,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,98,SUV,Medsize,A
120,VZ81004,Oregon,19259,No,Premium,Master,1/26/11,Employed,F,35973,Suburban,Married,159,5,97,0,2,Personal Auto,Personal L2,Offer1,Call Center,763,Sports Car,Large,A
121,IB81655,California,7695,No,Basic,Bachelor,1/24/11,Employed,M,50147,Suburban,Single,101,4,37,0,3,Personal Auto,Personal L2,Offer1,Branch,484,SUV,Medsize,A
122,BU72633,Nevada,42561,No,Basic,Master,1/10/11,Employed,M,66661,Suburban,Single,119,23,41,0,2,Personal Auto,Personal L2,Offer1,Agent,571,SUV,Medsize,A
123,PR37714,California,7153,No,Extended,Bachelor,2/23/11,Employed,F,32238,Suburban,Divorced,91,15,80,0,4,Personal Auto,Personal L3,Offer3,Branch,439,Four-Door Car,Medsize,A
124,EP82214,Arizona,26180,No,Extended,High School or Below,1/7/11,Employed,F,68189,Urban,Married,82,10,17,1,2,Special Auto,Special L2,Offer2,Branch,343,Four-Door Car,Medsize,A
125,OY20177,Oregon,7089,No,Extended,High School or Below,2/17/11,Employed,M,52707,Suburban,Married,90,33,66,1,6,Corporate Auto,Corporate L3,Offer3,Branch,432,Four-Door Car,Medsize,A
126,LK57294,Oregon,4786,No,Basic,High School or Below,2/25/11,Employed,M,23402,Suburban,Married,61,29,38,0,7,Personal Auto,Personal L1,Offer4,Call Center,292,Four-Door Car,Medsize,A
127,LC33025,Oregon,7918,No,Extended,College,2/14/11,Employed,M,44698,Suburban,Married,211,0,88,4,1,Personal Auto,Personal L2,Offer1,Call Center,1012,Luxury Car,Medsize,A
128,NG15645,California,2858,No,Basic,Master,1/11/11,Employed,F,27382,Rural,Married,71,33,35,0,1,Personal Auto,Personal L2,Offer2,Web,134,Four-Door Car,Medsize,A
129,CJ59481,Washington,2837,No,Basic,College,2/28/11,Employed,M,90893,Rural,Married,70,8,82,0,1,Personal Auto,Personal L3,Offer1,Agent,70,Two-Door Car,Medsize,A
130,DN98431,Oregon,2535,No,Basic,High School or Below,2/27/11,Unemployed,F,0,Suburban,Married,68,24,73,0,1,Corporate Auto,Corporate L3,Offer1,Branch,326,Four-Door Car,Medsize,A
131,ZC32761,Arizona,8433,No,Basic,Bachelor,2/15/11,Employed,M,57961,Rural,Divorced,72,27,64,0,2,Personal Auto,Personal L3,Offer1,Agent,38,Two-Door Car,Large,A
132,RA38184,Arizona,3444,No,Extended,Bachelor,2/3/11,Unemployed,F,0,Rural,Married,93,10,63,0,1,Corporate Auto,Corporate L3,Offer1,Agent,7,Four-Door Car,Medsize,A
133,IN77241,Washington,5394,No,Basic,Bachelor,2/6/11,Employed,M,65978,Urban,Married,67,3,50,0,3,Corporate Auto,Corporate L1,Offer2,Branch,251,Two-Door Car,Medsize,A
134,OB66874,Oregon,2585,No,Basic,College,1/12/11,Employed,F,28137,Suburban,Married,65,23,2,0,1,Personal Auto,Personal L1,Offer3,Web,312,Two-Door Car,Large,A
135,HO29524,California,3034,No,Extended,College,2/4/11,Employed,M,68205,Rural,Married,76,35,14,0,1,Personal Auto,Personal L1,Offer4,Branch,99,Two-Door Car,Medsize,A
136,FK94501,Nevada,7844,No,Basic,Bachelor,1/31/11,Unemployed,F,0,Urban,Married,102,20,46,0,3,Personal Auto,Personal L2,Offer1,Web,273,SUV,Large,A
137,LU79865,Nevada,5794,No,Basic,Bachelor,2/27/11,Employed,M,88370,Suburban,Divorced,74,0,16,1,9,Personal Auto,Personal L1,Offer1,Agent,355,Four-Door Car,Small,A
138,CF41619,Nevada,2329,No,Basic,College,2/9/11,Employed,M,20934,Suburban,Married,61,14,35,1,1,Personal Auto,Personal L3,Offer2,Branch,292,Four-Door Car,Small,A
139,JY16280,California,2514,Yes,Basic,High School or Below,2/14/11,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal Auto,Personal L2,Offer2,Agent,156,Four-Door Car,Medsize,A
140,UW10841,California,9976,No,Basic,Bachelor,2/21/11,Employed,M,74115,Urban,Married,63,24,24,0,2,Personal Auto,Personal L2,Offer2,Branch,275,Four-Door Car,Medsize,A
141,ON39271,California,2738,No,Basic,Master,2/21/11,Unemployed,M,0,Urban,Married,74,27,91,0,1,Personal Auto,Personal L2,Offer1,Branch,263,Two-Door Car,Medsize,A
